,Plate,Dx_star1,Dy_star1,Dx_star2,Dy_star2,Dx_star3,Dy_star3,Dx_star4,Dy_star4,Dx_star5,Dy_star5,Dx_star6,Dy_star6,Dx_star7,Dy_star7,Dx_corr,Dy_corr
0,1,-0.478,-0.109,-0.544,-0.204,-0.368,-0.136,-0.35,-0.073,-0.317,-0.144,-0.272,-0.146,-0.396,-0.182,-0.552,-0.206
1,2,0.967,1.17,1.013,1.192,1.03,1.249,1.044,1.305,0.98,1.319,0.997,1.327,1.102,1.289,0.967,1.17
2,3,1.098,1.228,0.899,1.232,1.133,1.086,1.164,1.114,1.244,1.012,1.249,0.96,0.969,1.052,0.899,0.96
3,4,0.725,0.83,0.692,0.938,0.725,0.854,0.732,0.893,0.714,0.824,0.722,0.831,0.734,0.941,0.69,0.824
4,5,-1.073,-1.33,-1.072,-1.075,-1.296,-1.031,-1.278,-1.014,-1.375,-1.052,-1.424,-1.038,-1.236,-0.909,-1.424,-1.33
5,6,1.242,-0.302,1.161,-0.224,1.354,-0.281,1.342,-0.261,1.363,-0.39,1.37,-0.423,1.278,-0.328,1.161,-0.423
6,7,-1.188,-1.572,-1.195,-1.432,-1.165,-1.454,-1.178,-1.394,-1.165,-1.473,-1.164,-1.476,-1.164,-1.335,-1.195,-1.572
